iter	Passed	Remaining
778	1672	474
779	1674	472
780	1676	470
781	1678	467
782	1680	465
783	1684	464
784	1686	461
785	1688	459
786	1690	457
787	1692	455
788	1693	452
789	1695	450
790	1697	448
791	1700	446
792	1702	444
793	1704	442
794	1706	439
795	1707	437
796	1709	435
797	1711	433
798	1713	430
799	1714	428
800	1716	426
801	1718	424
802	1720	422
803	1721	419
804	1723	417
805	1725	415
806	1727	413
807	1728	410
808	1730	408
809	1732	406
810	1733	404
811	1735	401
812	1737	399
813	1739	397
814	1741	395
815	1742	392
816	1744	390
817	1746	388
818	1748	386
819	1749	384
820	1752	382
821	1754	379
822	1756	377
823	1757	375
824	1760	373
825	1762	371
826	1763	368
827	1766	366
828	1767	364
829	1769	362
830	1771	360
831	1773	358
832	1775	355
833	1777	353
834	1779	351
835	1781	349
836	1783	347
837	1785	345
838	1787	342
839	1789	340
840	1791	338
841	1793	336
842	1795	334
843	1797	332
844	1799	330
845	1802	328
846	1804	325
847	1806	323
848	1808	321
849	1810	319
850	1812	317
851	1814	315
852	1817	313
853	1818	310
854	1820	308
855	1821	306
856	1823	304
857	1825	302
858	1827	299
859	1828	297
860	1831	295
861	1832	293
862	1834	291
863	1835	288
864	1838	286
865	1839	284
866	1841	282
867	1842	280
868	1845	278
869	1846	275
870	1848	273
871	1849	271
872	1851	269
873	1853	267
874	1855	265
875	1856	262
876	1858	260
877	1860	258
878	1861	256
879	1863	254
880	1865	251
881	1867	249
882	1868	247
883	1870	245
884	1871	243
885	1873	241
886	1875	238
887	1876	236
888	1878	234
889	1880	232
890	1882	230
891	1884	228
892	1886	226
893	1888	223
894	1889	221
895	1891	219
896	1893	217
897	1895	215
898	1896	213
899	1898	210
900	1900	208
901	1901	206
902	1903	204
903	1905	202
904	1906	200
905	1909	198
906	1911	195
907	1912	193
908	1914	191
909	1916	189
910	1917	187
911	1919	185
912	1921	183
913	1923	180
914	1924	178
915	1926	176
916	1927	174
917	1929	172
918	1931	170
919	1933	168
920	1934	165
921	1936	163
922	1938	161
923	1939	159
924	1940	157
925	1942	155
926	1944	153
927	1945	150
928	1947	148
929	1949	146
930	1951	144
931	1952	142
932	1955	140
933	1958	138
934	1960	136
935	1962	134
936	1965	132
937	1967	130
938	1969	127
939	1972	125
940	1974	123
941	1976	121
942	1979	119
943	1981	117
944	1984	115
945	1987	113
946	1989	111
947	1991	109
948	1994	107
949	1996	105
950	1998	102
951	2000	100
952	2003	98
953	2005	96
954	2007	94
955	2009	92
956	2011	90
957	2013	88
958	2015	86
959	2017	84
960	2019	81
961	2021	79
962	2024	77
963	2025	75
964	2027	73
965	2030	71
966	2032	69
967	2034	67
968	2037	65
969	2040	63
970	2042	60
971	2045	58
972	2047	56
973	2050	54
974	2052	52
975	2054	50
976	2057	48
977	2059	46
978	2061	44
979	2064	42
980	2066	40
981	2068	37
982	2070	35
983	2072	33
984	2074	31
985	2076	29
986	2079	27
987	2081	25
988	2083	23
989	2085	21
990	2087	18
991	2089	16
992	2091	14
993	2094	12
994	2097	10
995	2099	8
996	2102	6
997	2104	4
998	2106	2
999	2108	0
